peopleid;first_name;surname;born;died;gender
1;O'Shea Jackson (Jr.);;1991;;M
2;Oscar Beregi (Sr.);;1876;1965;M
3;;50 Cent;1975;;M
4;;Aaliyah;1979;2001;F
5;;Aamani;1973;;F
6;Willie;Aames;1960;;M
7;Caroline;Aaron;1952;;F
8;Quinton;Aaron;1984;;M
9;Dodo;Abashidze;1924;1990;M
10;Diego;Abatantuono;1955;;M
11;Alex;Abbad;1978;;M
12;Khwaja Ahmad;Abbas;1914;1987;M
13;Hiam;Abbass;1960;;F
14;Bud;Abbott;1897;1974;M
15;Diahnne;Abbott;1945;;F
16;George;Abbott;1887;1995;M
17;John;Abbott;1905;1996;M
18;Khalid;Abdalla;1980;;M
19;Barkhad;Abdi;1985;;M
20;Kareem;Abdul-Jabbar;1947;;M
21;Aleksandr;Abdulov;1953;2008;M
22;Hiroshi;Abe;1964;;M
23;Sadao;Abe;1970;;F
24;Toru;Abe;1917;1993;M
25;Tsuyoshi;Abe;1982;;M
26;Alfred;Abel;1879;1937;M
27;Jake;Abel;1987;;M
28;Raja;Abel;1978;;M
29;Lionel;Abelanski;1964;;M
30;Ian;Abercrombie;1934;2012;M
31;Elke;Aberle;1950;;F
32;Ary;Abittan;1974;;M
33;Simon;Abkarian;1962;;M
34;Alon;Aboutboul;1965;;M
35;F. Murray;Abraham;1939;;M
36;John;Abraham;1972;;M
37;Jim;Abrahams;1944;;M
38;Jon;Abrahams;1977;;M
39;Lenny;Abrahamson;1966;;M
40;Cláudia;Abreu;1970;;F
41;Josef;Abrhám;1939;;M
42;Andrei;Abrikosov;1906;1973;M
43;Silvia;Abril;1971;;F
44;Victoria;Abril;1959;;F
45;Salah;Abu Seif;1915;1996;M
46;Hany;Abu-Assad;1961;;M
47;Tommy;Abuel;1942;;M
48;Tengiz;Abuladze;1924;1994;M
49;Candice;Accola;1987;;F
50;Stefano;Accorsi;1971;;M
51;Vijay Krishna;Acharya;1968;;M
52;Amy;Acker;1976;;F
53;Sharon;Acker;1935;;F
54;Joss;Ackland;1928;;M
55;Jean;Adair;1873;1953;F
56;Alfred;Adam;1908;1982;M
57;Marie Christine;Adam;1950;;F
58;Amy;Adams;1974;;F
59;Brooke;Adams;1949;;F
60;Dorothy;Adams;1900;1988;F
61;Edie;Adams;1927;2008;F
62;Jane;Adams;1965;;F
63;Joey Lauren;Adams;1968;;F
64;Julie;Adams;1926;;F
65;Maud;Adams;1945;;F
66;Nick;Adams;1931;1968;M
67;Randall Dale;Adams;1948;2010;M
68;Robert;Adams;1906;1965;M
69;Andrew;Adamson;1966;;M
70;Cynthia;Addai-Robinson;1985;;F
71;Dawn;Addams;1930;1985;F
72;Chris;Addison;1971;;M
