DBMS,Mode,Threads,TotalOps,TotalTime_ms,QPS,Avg_ms,P95_ms,P99_ms,Max_ms
PostgreSQL,point_select,1,200,325.67,614.11,0.581,0.863,1.104,14.745
PostgreSQL,simple_tx,1,200,713.81,280.19,3.517,5.228,5.942,12.711
PostgreSQL,point_select,8,1600,134.46,11899.10,0.448,0.642,0.807,1.614
PostgreSQL,simple_tx,8,1600,953.78,1677.54,4.700,6.127,6.449,8.372
PostgreSQL,point_select,16,3200,140.96,22701.85,0.621,1.022,1.717,2.532
PostgreSQL,simple_tx,16,3200,1062.75,3011.05,5.210,6.810,7.894,9.829
PostgreSQL,point_select,32,6400,213.26,30010.74,0.959,1.828,3.085,5.902
PostgreSQL,simple_tx,32,6400,1227.72,5212.91,6.010,9.169,11.022,15.464
openGauss,point_select,1,200,155.01,1290.27,0.449,0.638,1.211,1.803
openGauss,simple_tx,1,200,1101.20,181.62,5.425,6.876,7.282,9.161
openGauss,point_select,8,1600,129.72,12334.33,0.489,0.699,0.947,1.036
openGauss,simple_tx,8,1600,1135.39,1409.20,5.578,7.110,10.142,11.129
openGauss,point_select,16,3200,183.16,17471.13,0.732,1.141,2.012,2.344
openGauss,simple_tx,16,3200,1505.72,2125.22,7.333,9.767,12.705,19.138
openGauss,point_select,32,6400,307.19,20834.05,1.298,2.054,2.937,4.705
openGauss,simple_tx,32,6400,1455.36,4397.54,6.965,9.012,11.125,13.443
