DBMS,Mode,Threads,ThreadId,Ops,TotalMs,AvgMs,P95ms,P99ms,MaxMs
PostgreSQL,point_select,1,1,200,117.108,0.581,0.863,1.104,14.745
PostgreSQL,simple_tx,1,1,200,704.612,3.517,5.228,5.942,12.711
PostgreSQL,point_select,8,1,200,90.415,0.450,0.619,0.774,1.174
PostgreSQL,point_select,8,2,200,91.036,0.453,0.642,0.772,1.614
PostgreSQL,point_select,8,3,200,89.708,0.446,0.641,0.768,1.204
PostgreSQL,point_select,8,4,200,89.905,0.447,0.619,0.792,1.214
PostgreSQL,point_select,8,5,200,90.450,0.450,0.605,0.797,1.271
PostgreSQL,point_select,8,6,200,89.855,0.447,0.624,0.790,1.213
PostgreSQL,point_select,8,7,200,90.527,0.450,0.613,0.807,1.447
PostgreSQL,point_select,8,8,200,88.557,0.441,0.593,0.797,1.214
PostgreSQL,simple_tx,8,1,200,935.286,4.674,6.073,6.310,8.062
PostgreSQL,simple_tx,8,2,200,938.893,4.691,6.096,6.349,8.209
PostgreSQL,simple_tx,8,3,200,945.849,4.726,6.108,6.449,8.245
PostgreSQL,simple_tx,8,4,200,941.375,4.704,6.071,6.301,8.086
PostgreSQL,simple_tx,8,5,200,941.675,4.706,6.127,6.325,8.311
PostgreSQL,simple_tx,8,6,200,942.674,4.710,6.073,6.437,8.109
PostgreSQL,simple_tx,8,7,200,937.976,4.687,6.057,6.330,8.372
PostgreSQL,simple_tx,8,8,200,940.413,4.699,6.058,6.421,8.086
PostgreSQL,point_select,16,1,200,123.770,0.616,0.992,1.230,2.514
PostgreSQL,point_select,16,2,200,123.902,0.617,0.976,1.366,2.503
PostgreSQL,point_select,16,3,200,122.947,0.612,0.965,1.278,2.408
PostgreSQL,point_select,16,4,200,126.774,0.632,1.022,1.408,2.493
PostgreSQL,point_select,16,5,200,124.528,0.620,1.001,1.407,2.299
PostgreSQL,point_select,16,6,200,123.476,0.615,0.930,1.337,2.438
PostgreSQL,point_select,16,7,200,125.537,0.626,0.985,1.201,2.440
PostgreSQL,point_select,16,8,200,125.048,0.623,0.976,1.421,1.957
PostgreSQL,point_select,16,9,200,125.317,0.624,0.981,1.444,2.085
PostgreSQL,point_select,16,10,200,126.859,0.632,0.945,1.309,2.532
PostgreSQL,point_select,16,11,200,124.913,0.622,0.968,1.468,2.424
PostgreSQL,point_select,16,12,200,124.569,0.621,0.976,1.241,2.504
PostgreSQL,point_select,16,13,200,124.161,0.619,0.990,1.291,2.488
PostgreSQL,point_select,16,14,200,124.176,0.619,0.956,1.482,2.391
PostgreSQL,point_select,16,15,200,123.643,0.616,0.947,1.717,2.454
PostgreSQL,point_select,16,16,200,123.863,0.617,0.980,1.304,2.429
PostgreSQL,simple_tx,16,1,200,1052.395,5.259,6.810,7.815,7.858
PostgreSQL,simple_tx,16,2,200,1043.020,5.213,6.370,7.299,7.877
PostgreSQL,simple_tx,16,3,200,1042.161,5.208,6.455,7.351,7.911
PostgreSQL,simple_tx,16,4,200,1042.980,5.212,6.457,7.768,7.915
PostgreSQL,simple_tx,16,5,200,1048.601,5.240,6.561,7.874,9.829
