DBMS,Threads,TotalQueries,TotalTime(ms),QPS,AvgLatency(ms),P95(ms),P99(ms),Max(ms)
PostgreSQL,1,200,689.28,290.16,2.340,2.801,3.267,14.410
PostgreSQL,8,1600,564.12,2836.29,2.605,3.630,4.158,7.060
PostgreSQL,16,3200,1003.80,3187.88,4.651,6.894,10.651,14.724
PostgreSQL,32,6400,1633.86,3917.10,7.941,10.623,12.847,16.211
openGauss,1,200,807.91,247.55,3.464,4.072,4.381,5.128
openGauss,8,1600,1247.91,1282.14,5.966,11.128,17.005,21.837
openGauss,16,3200,1568.36,2040.35,7.503,9.682,10.950,13.758
openGauss,32,6400,2444.85,2617.75,11.716,15.054,17.332,19.057
File,1,200,569.00,351.50,2.830,3.725,9.382,15.884
File,8,1600,867.85,1843.63,4.184,8.001,23.514,26.667
File,16,3200,1180.35,2711.07,5.805,7.368,9.327,14.055
File,32,6400,2035.90,3143.58,10.037,12.304,47.873,114.529
