DBMS,Threads,ThreadId,Queries,TotalMs,AvgMs,P95ms,P99ms,MaxMs
PostgreSQL,1,1,200,672.363,2.340,2.801,3.267,14.410
PostgreSQL,8,1,200,553.480,2.591,3.565,3.861,4.929
PostgreSQL,8,2,200,558.833,2.618,3.627,4.158,6.840
PostgreSQL,8,3,200,557.836,2.611,3.611,3.927,5.154
PostgreSQL,8,4,200,552.713,2.588,3.507,4.076,5.620
PostgreSQL,8,5,200,554.053,2.594,3.518,3.992,5.076
PostgreSQL,8,6,200,552.767,2.587,3.345,3.697,7.060
PostgreSQL,8,7,200,563.487,2.642,3.630,3.949,6.550
PostgreSQL,8,8,200,555.782,2.607,3.599,4.034,6.540
PostgreSQL,16,1,200,975.776,4.711,6.551,8.020,10.568
PostgreSQL,16,2,200,984.515,4.759,6.689,8.073,11.393
PostgreSQL,16,3,200,964.002,4.649,6.189,8.195,9.901
PostgreSQL,16,4,200,958.731,4.621,6.212,8.543,10.449
PostgreSQL,16,5,200,950.610,4.582,6.292,7.671,8.358
PostgreSQL,16,6,200,950.796,4.594,6.243,8.878,10.571
PostgreSQL,16,7,200,956.956,4.614,6.478,10.651,14.724
PostgreSQL,16,8,200,955.882,4.602,6.213,8.851,9.927
PostgreSQL,16,9,200,970.619,4.684,6.295,8.917,12.483
PostgreSQL,16,10,200,975.305,4.702,6.494,9.999,11.063
PostgreSQL,16,11,200,944.601,4.548,6.693,8.716,9.704
PostgreSQL,16,12,200,946.974,4.561,6.133,7.848,9.757
PostgreSQL,16,13,200,1003.081,4.846,6.894,7.925,10.093
PostgreSQL,16,14,200,942.769,4.545,6.352,8.467,11.345
PostgreSQL,16,15,200,971.410,4.685,6.238,9.069,12.133
PostgreSQL,16,16,200,977.422,4.714,6.414,9.266,13.487
PostgreSQL,32,1,200,1609.072,7.971,10.623,12.347,13.770
PostgreSQL,32,2,200,1606.758,7.958,10.000,11.291,12.402
PostgreSQL,32,3,200,1592.216,7.884,10.061,11.405,11.682
PostgreSQL,32,4,200,1606.420,7.959,10.073,10.982,11.792
PostgreSQL,32,5,200,1609.514,7.977,10.128,11.319,12.466
PostgreSQL,32,6,200,1599.689,7.879,9.645,10.368,12.094
PostgreSQL,32,7,200,1601.442,7.879,9.566,10.826,11.372
PostgreSQL,32,8,200,1613.773,7.992,9.743,11.955,13.592
PostgreSQL,32,9,200,1612.589,7.978,10.246,12.064,12.373
PostgreSQL,32,10,200,1592.425,7.887,9.556,11.766,13.361
PostgreSQL,32,11,200,1600.890,7.919,10.136,11.534,11.948
PostgreSQL,32,12,200,1611.762,7.963,10.108,12.037,12.357
PostgreSQL,32,13,200,1586.078,7.842,9.946,11.970,14.706
PostgreSQL,32,14,200,1613.988,7.984,9.883,11.510,12.079
PostgreSQL,32,15,200,1613.055,7.976,10.268,12.229,12.514
PostgreSQL,32,16,200,1612.335,7.979,10.083,11.082,12.337
PostgreSQL,32,17,200,1601.596,7.931,9.862,11.075,11.401
PostgreSQL,32,18,200,1622.064,8.025,10.512,11.842,13.891
PostgreSQL,32,19,200,1606.132,7.947,10.191,10.412,12.696
PostgreSQL,32,20,200,1615.512,7.986,9.883,11.344,12.167
PostgreSQL,32,21,200,1598.334,7.910,9.875,10.923,12.228
PostgreSQL,32,22,200,1622.553,8.004,10.349,11.912,12.179
PostgreSQL,32,23,200,1589.467,7.861,9.570,10.823,12.153
PostgreSQL,32,24,200,1594.261,7.836,9.653,10.616,10.729
PostgreSQL,32,25,200,1619.718,7.951,10.081,11.064,16.211
PostgreSQL,32,26,200,1614.224,7.929,9.872,11.614,13.753
PostgreSQL,32,27,200,1613.362,7.957,10.314,11.093,13.047
PostgreSQL,32,28,200,1620.145,7.950,10.390,11.734,12.332
PostgreSQL,32,29,200,1627.254,7.983,10.270,12.847,13.321
PostgreSQL,32,30,200,1619.876,7.939,9.666,11.218,13.875
PostgreSQL,32,31,200,1623.234,7.919,10.074,11.789,12.144
PostgreSQL,32,32,200,1628.719,7.947,10.096,11.139,11.869
openGauss,1,1,200,806.670,3.464,4.072,4.381,5.128
openGauss,8,1,200,1206.792,5.916,9.728,16.301,18.724
openGauss,8,2,200,1211.238,5.949,10.219,16.938,18.310
openGauss,8,3,200,1225.727,6.004,11.128,14.520,16.844
openGauss,8,4,200,1247.433,6.111,10.281,15.292,21.837
openGauss,8,5,200,1200.513,5.893,10.067,16.893,17.933
openGauss,8,6,200,1218.240,5.964,9.637,16.731,20.743
openGauss,8,7,200,1204.020,5.904,10.243,14.370,16.787
openGauss,8,8,200,1219.458,5.987,11.067,17.005,19.005
openGauss,16,1,200,1549.053,7.526,9.635,10.374,10.672
openGauss,16,2,200,1546.607,7.535,9.107,10.103,10.829
openGauss,16,3,200,1515.969,7.392,9.506,10.950,11.943
openGauss,16,4,200,1520.479,7.414,9.427,10.113,12.635
openGauss,16,5,200,1538.835,7.474,9.368,10.445,12.370
openGauss,16,6,200,1550.644,7.537,9.661,10.530,13.639
openGauss,16,7,200,1553.061,7.563,9.682,10.305,10.706
openGauss,16,8,200,1536.118,7.491,9.276,10.264,10.923
openGauss,16,9,200,1540.475,7.472,9.256,10.086,11.811
openGauss,16,10,200,1539.317,7.483,9.670,10.724,13.083
openGauss,16,11,200,1563.041,7.592,9.289,10.241,12.514
openGauss,16,12,200,1566.253,7.597,9.662,10.496,13.758
openGauss,16,13,200,1514.855,7.378,9.432,10.071,12.268
openGauss,16,14,200,1565.001,7.612,9.555,10.678,12.868
openGauss,16,15,200,1524.407,7.381,9.561,10.788,11.801
openGauss,16,16,200,1564.797,7.603,9.444,10.509,11.363
openGauss,32,1,200,2392.686,11.762,14.553,15.810,19.057
